block,trial,subj,trialType,cue,probe,response,rt,accuracy
1,55,s998,AX,nan,nan,nan,nan,nan
1,56,s998,BY,nan,nan,nan,nan,nan
1,57,s998,NG,nan,nan,nan,nan,nan
1,58,s998,AX,nan,nan,nan,nan,nan
1,59,s998,BY,nan,nan,nan,nan,nan
1,60,s998,AX,nan,nan,nan,nan,nan
1,61,s998,BY,nan,nan,nan,nan,nan
2,0,s998,NG,nan,nan,nan,nan,nan
2,1,s998,AX,nan,nan,nan,nan,nan
2,2,s998,NG,nan,nan,nan,nan,nan
2,3,s998,BY,nan,nan,nan,nan,nan
2,4,s998,NG,nan,nan,nan,nan,nan
2,5,s998,BY,nan,nan,nan,nan,nan
2,6,s998,BY,nan,nan,nan,nan,nan
2,7,s998,AX,nan,nan,nan,nan,nan
2,8,s998,NG,nan,nan,nan,nan,nan
2,9,s998,BY,nan,nan,nan,nan,nan
2,10,s998,BY,nan,nan,nan,nan,nan
2,11,s998,AX,nan,nan,nan,nan,nan
2,12,s998,AY,nan,nan,nan,nan,nan
2,13,s998,BY,nan,nan,nan,nan,nan
2,14,s998,NG,nan,nan,nan,nan,nan
2,15,s998,BX,nan,nan,nan,nan,nan
2,16,s998,AX,nan,nan,nan,nan,nan
2,17,s998,NG,nan,nan,nan,nan,nan
2,18,s998,AX,nan,nan,nan,nan,nan
2,19,s998,AY,nan,nan,nan,nan,nan
2,20,s998,AX,nan,nan,nan,nan,nan
2,21,s998,AX,nan,nan,nan,nan,nan
2,22,s998,BX,nan,nan,nan,nan,nan
2,23,s998,BY,nan,nan,nan,nan,nan
2,24,s998,NG,nan,nan,nan,nan,nan
2,25,s998,AX,nan,nan,nan,nan,nan
2,26,s998,AX,nan,nan,nan,nan,nan
2,27,s998,NG,nan,nan,nan,nan,nan
2,28,s998,AX,nan,nan,nan,nan,nan
2,29,s998,BY,nan,nan,nan,nan,nan
2,30,s998,AY,nan,nan,nan,nan,nan
2,31,s998,NG,nan,nan,nan,nan,nan
2,32,s998,AX,nan,nan,nan,nan,nan
2,33,s998,AX,nan,nan,nan,nan,nan
2,34,s998,BX,nan,nan,nan,nan,nan
2,35,s998,BY,nan,nan,nan,nan,nan
2,36,s998,AX,nan,nan,nan,nan,nan
2,37,s998,BX,nan,nan,nan,nan,nan
2,38,s998,AX,nan,nan,nan,nan,nan
2,39,s998,BY,nan,nan,nan,nan,nan
2,40,s998,AX,nan,nan,nan,nan,nan
2,41,s998,NG,nan,nan,nan,nan,nan
2,42,s998,BY,nan,nan,nan,nan,nan
2,43,s998,BY,nan,nan,nan,nan,nan
2,44,s998,AX,nan,nan,nan,nan,nan
2,45,s998,AX,nan,nan,nan,nan,nan
2,46,s998,BY,nan,nan,nan,nan,nan
2,47,s998,AX,nan,nan,nan,nan,nan
2,48,s998,BY,nan,nan,nan,nan,nan
2,49,s998,AY,nan,nan,nan,nan,nan
2,50,s998,NG,nan,nan,nan,nan,nan
