block,trial,subj,trialType,cue,probe,response,rt,accuracy
0,0,s001,AX,A,X,left,0.3422210216522217,True
0,1,s001,BY,R,F,right,0.476917028427124,True
0,2,s001,BY,S,J,nan,nan,False
0,3,s001,AX,A,X,left,0.5413098335266113,True
0,4,s001,NG,G,3,nan,nan,True
0,5,s001,BX,P,X,right,0.5863909721374512,True
0,6,s001,NG,S,4,nan,nan,True
0,7,s001,AX,A,X,left,0.3820188045501709,True
0,8,s001,AY,A,Q,right,0.595862865447998,True
0,9,s001,NG,R,1,nan,nan,True
0,10,s001,AX,A,X,left,0.4631540775299072,True
0,11,s001,AX,A,X,left,0.6175000667572021,True
0,12,s001,BY,R,U,right,0.5972599983215332,True
0,13,s001,BY,G,Q,right,0.6736419200897217,True
0,14,s001,AX,A,X,left,0.5392651557922363,True
0,15,s001,AX,A,X,left,0.3144209384918213,True
0,16,s001,BX,P,X,left,0.5705578327178955,False
0,17,s001,BY,P,Q,nan,nan,False
0,18,s001,BY,S,Q,right,0.9909420013427734,True
0,19,s001,AX,A,X,left,0.38725900650024414,True
0,20,s001,NG,A,9,nan,nan,True
0,21,s001,BY,P,U,right,0.5828039646148682,True
0,22,s001,AX,A,X,left,0.29157400131225586,True
0,23,s001,BY,E,U,right,0.32487010955810547,True
0,24,s001,AX,A,X,left,0.39634203910827637,True
0,25,s001,BY,E,M,right,0.8497769832611084,True
0,26,s001,NG,A,1,nan,nan,True
0,27,s001,BY,S,Q,right,0.9621710777282715,True
0,28,s001,BY,P,M,right,0.2877311706542969,True
0,29,s001,BX,E,X,right,0.23320817947387695,True
0,30,s001,AY,A,J,right,0.580380916595459,True
0,31,s001,AX,A,X,left,0.4015810489654541,True
0,32,s001,BY,R,U,right,0.8863680362701416,True
0,33,s001,AX,A,X,left,0.31899285316467285,True
0,34,s001,AX,A,X,left,0.5825438499450684,True
0,35,s001,BY,P,U,right,0.26766300201416016,True
0,36,s001,AX,A,X,left,0.4055140018463135,True
0,37,s001,NG,P,3,nan,nan,True
0,38,s001,AX,A,X,left,0.4883840084075928,True
0,39,s001,AX,A,X,left,0.32947802543640137,True
0,40,s001,BY,E,M,right,0.70501708984375,True
0,41,s001,BY,R,M,right,0.9853310585021973,True
0,42,s001,NG,A,7,nan,nan,True
0,43,s001,BX,S,X,right,0.292147159576416,True
0,44,s001,AY,A,M,right,0.6691150665283203,True
0,45,s001,NG,A,3,nan,nan,True
0,46,s001,AY,A,U,right,1.3733279705047607,True
0,47,s001,BY,P,Q,nan,nan,False
1,0,s001,BY,G,F,right,0.7540988922119141,True
1,1,s001,AX,A,X,left,0.4797329902648926,True
1,2,s001,AX,A,X,left,0.4897348880767822,True
