block,trial,subj,trialType,cue,probe,response,rt,accuracy
0,0,s002,NG,E,9,nan,nan,True
0,1,s002,AX,A,X,left,0.8402299880981445,True
0,2,s002,AX,A,X,left,0.7225799560546875,True
0,3,s002,AY,A,M,right,1.0498571395874023,True
0,4,s002,AY,A,M,right,0.6516120433807373,True
0,5,s002,BY,S,U,nan,nan,False
0,6,s002,BY,G,F,right,0.4762251377105713,True
0,7,s002,AY,A,Q,right,1.0058181285858154,True
0,8,s002,BY,R,U,right,0.5936758518218994,True
0,9,s002,AX,A,X,left,0.5266809463500977,True
0,10,s002,BY,R,F,right,0.3982830047607422,True
0,11,s002,AX,A,X,left,0.5548479557037354,True
0,12,s002,NG,G,9,nan,nan,True
0,13,s002,AX,A,X,left,1.1839029788970947,True
0,14,s002,BY,R,J,right,0.45229196548461914,True
0,15,s002,AX,A,X,left,0.5261778831481934,True
0,16,s002,BX,P,X,right,0.40625,True
0,17,s002,BX,G,X,right,0.362537145614624,True
0,18,s002,AX,A,X,left,0.43265295028686523,True
0,19,s002,AX,A,X,left,0.40401601791381836,True
0,20,s002,BY,G,Q,right,0.39229512214660645,True
0,21,s002,AX,A,X,left,0.38116908073425293,True
0,22,s002,NG,R,1,nan,nan,True
0,23,s002,AY,A,J,right,0.4338829517364502,True
0,24,s002,BY,G,M,right,0.3884439468383789,True
0,25,s002,NG,A,4,nan,nan,True
0,26,s002,BY,R,M,right,0.37639498710632324,True
0,27,s002,BX,R,X,right,0.6540520191192627,True
0,28,s002,BY,S,U,right,0.39196205139160156,True
0,29,s002,NG,P,8,nan,nan,True
0,30,s002,BY,P,Q,right,0.3879890441894531,True
0,31,s002,BY,E,U,right,0.3846549987792969,True
0,32,s002,AX,A,X,left,0.35002589225769043,True
0,33,s002,AX,A,X,left,0.35648417472839355,True
0,34,s002,BY,S,Q,right,0.37078309059143066,True
0,35,s002,NG,A,6,nan,nan,True
0,36,s002,BX,E,X,right,0.46313905715942383,True
0,37,s002,BY,E,J,right,0.44158315658569336,True
0,38,s002,AX,A,X,left,0.636260986328125,True
0,39,s002,AX,A,X,left,0.39137911796569824,True
0,40,s002,BY,P,U,right,0.3164491653442383,True
0,41,s002,AX,A,X,left,0.6440200805664062,True
0,42,s002,AX,A,X,left,0.3911440372467041,True
0,43,s002,NG,A,7,nan,nan,True
0,44,s002,NG,A,6,nan,nan,True
0,45,s002,BY,R,M,right,0.3929440975189209,True
0,46,s002,AX,A,X,left,0.43820619583129883,True
0,47,s002,BY,R,M,right,0.37740015983581543,True
1,0,s002,BY,E,J,right,0.4236280918121338,True
1,1,s002,BY,G,J,right,0.331251859664917,True
1,2,s002,NG,S,4,nan,nan,True
1,3,s002,AX,A,X,left,0.369952917098999,True
1,4,s002,AX,A,X,left,0.375669002532959,True
1,5,s002,BY,R,Q,right,0.42883896827697754,True
1,6,s002,BY,S,F,right,0.39302897453308105,True
1,7,s002,AX,A,X,left,0.3581428527832031,True
1,8,s002,BY,E,Q,right,0.31617212295532227,True
1,9,s002,BY,P,J,right,0.372302770614624,True
1,10,s002,AX,A,X,left,0.410053014755249,True
1,11,s002,NG,E,8,right,0.39804983139038086,False
1,12,s002,AX,A,X,left,0.33165907859802246,True
1,13,s002,AY,A,F,right,1.1796119213104248,True
1,14,s002,BY,S,U,right,0.36056017875671387,True
1,15,s002,AX,A,X,left,0.9344580173492432,True
1,16,s002,AX,A,X,left,0.4371449947357178,True
1,17,s002,BY,S,Q,right,0.3922538757324219,True
1,18,s002,AX,A,X,left,0.3890519142150879,True
1,19,s002,AX,A,X,left,0.4583749771118164,True
1,20,s002,BY,R,F,right,0.38086700439453125,True
1,21,s002,NG,A,1,nan,nan,True
1,22,s002,AX,A,X,left,0.4091529846191406,True
1,23,s002,AY,A,F,right,0.8853778839111328,True
1,24,s002,BX,R,X,right,0.5419619083404541,True
1,25,s002,AX,A,X,left,0.548576831817627,True
1,26,s002,BX,S,X,right,0.39508509635925293,True
1,27,s002,BY,R,F,right,0.5688669681549072,True
1,28,s002,AX,A,X,left,0.3503260612487793,True
1,29,s002,BY,P,F,right,0.3567790985107422,True
1,30,s002,BX,P,X,right,0.3394768238067627,True
1,31,s002,AX,A,X,left,0.3781321048736572,True
1,32,s002,NG,G,1,nan,nan,True
1,33,s002,AX,A,X,left,0.39878296852111816,True
1,34,s002,NG,A,6,nan,nan,True
1,35,s002,AX,A,X,left,0.3939211368560791,True
1,36,s002,AY,A,J,right,0.5347540378570557,True
1,37,s002,BY,E,M,right,0.4698982238769531,True
1,38,s002,AX,A,X,left,0.4870331287384033,True
1,39,s002,NG,R,2,nan,nan,True
1,40,s002,BY,R,Q,right,0.3030669689178467,True
1,41,s002,BX,G,X,right,0.5431029796600342,True
1,42,s002,AY,A,F,right,0.4385249614715576,True
1,43,s002,NG,A,4,nan,nan,True
1,44,s002,BY,P,F,right,0.4644439220428467,True
1,45,s002,BY,E,Q,right,0.4188690185546875,True
1,46,s002,NG,A,1,nan,nan,True
1,47,s002,BY,S,M,right,0.5492751598358154,True
2,0,s002,BY,S,M,nan,nan,False
2,1,s002,BY,R,Q,right,0.38457393646240234,True
2,2,s002,NG,A,3,nan,nan,True
2,3,s002,BY,G,M,right,0.38052892684936523,True
2,4,s002,AX,A,X,left,0.5461599826812744,True
2,5,s002,BX,R,X,right,0.36901402473449707,True
2,6,s002,BY,P,J,right,0.34276294708251953,True
2,7,s002,BY,P,M,right,0.36584019660949707,True
2,8,s002,AY,A,U,right,0.4039440155029297,True
2,9,s002,BY,R,M,right,0.3681371212005615,True
2,10,s002,AX,A,X,left,0.9334721565246582,True
2,11,s002,BY,E,J,right,0.6043939590454102,True
2,12,s002,AX,A,X,left,0.40851283073425293,True
2,13,s002,NG,P,7,nan,nan,True
2,14,s002,BY,P,U,right,0.35555100440979004,True
2,15,s002,BY,G,J,right,0.41803812980651855,True
2,16,s002,BX,G,X,right,0.35775089263916016,True
2,17,s002,AX,A,X,left,0.5640769004821777,True
2,18,s002,AX,A,X,left,0.4022560119628906,True
2,19,s002,BX,S,X,right,0.42276597023010254,True
2,20,s002,BY,G,M,right,0.5221419334411621,True
2,21,s002,BY,S,F,right,0.6341960430145264,True
2,22,s002,AX,A,X,left,0.36482810974121094,True
2,23,s002,NG,S,5,nan,nan,True
2,24,s002,AY,A,J,left,0.609591007232666,False
2,25,s002,AY,A,F,right,0.453995943069458,True
2,26,s002,AX,A,X,left,0.6484959125518799,True
2,27,s002,BY,R,F,right,0.330808162689209,True
2,28,s002,NG,E,1,nan,nan,True
2,29,s002,AX,A,X,left,0.33770108222961426,True
2,30,s002,AX,A,X,left,0.5445809364318848,True
2,31,s002,BY,G,U,right,0.3354921340942383,True
2,32,s002,BY,P,Q,right,0.4147520065307617,True
2,33,s002,AX,A,X,left,0.41110706329345703,True
2,34,s002,NG,A,2,nan,nan,True
2,35,s002,BY,R,U,right,0.3502359390258789,True
2,36,s002,AY,A,M,right,0.6124451160430908,True
